step,entropy,edges
0,1.06,106.0
1,1.07,107.0
2,1.08,108.0
3,1.07,107.0
4,1.08,108.0
5,1.09,109.0
6,1.08,108.0
7,1.13,113.0
8,1.09,109.0
9,1.1,110.0
10,1.12,112.0
11,1.15,115.0
12,1.12,112.0
13,1.15,115.0
14,1.17,117.0
15,1.17,117.0
16,1.25,125.0
17,1.15,115.0
18,1.23,123.0
19,1.22,122.0
20,1.22,122.0
21,1.19,119.0
22,1.24,124.0
23,1.22,122.0
24,1.23,123.0
25,1.28,128.0
26,1.27,127.0
27,1.28,128.0
28,1.24,124.0
29,1.24,124.0
30,1.24,124.0
31,1.24,124.0
32,1.24,124.0
33,1.18,118.0
34,1.14,114.0
35,1.16,116.0
36,1.15,115.0
37,1.14,114.0
38,1.2,120.0
39,1.12,112.0
40,1.1,110.0
41,1.09,109.0
42,1.09,109.0
43,1.09,109.0
44,1.14,114.0
45,1.14,114.0
46,1.14,114.0
47,1.13,113.0
48,1.12,112.0
49,1.09,109.0
50,1.08,108.0
51,1.06,106.0
52,1.07,107.0
53,1.01,101.0
54,1.04,104.0
55,1.08,108.0
56,1.02,102.0
57,1.05,105.0
58,1.06,106.0
59,1.04,104.0
60,1.07,107.0
61,1.08,108.0
62,1.09,109.0
63,1.07,107.0
64,1.14,114.0
65,1.08,108.0
66,1.13,113.0
67,1.1,110.0
68,1.1,110.0
69,1.12,112.0
70,1.19,119.0
71,1.19,119.0
72,1.2,120.0
73,1.21,121.0
74,1.13,113.0
75,1.17,117.0
76,1.21,121.0
77,1.2,120.0
78,1.26,126.0
79,1.3,130.0
80,1.21,121.0
81,1.21,121.0
82,1.19,119.0
83,1.2,120.0
84,1.22,122.0
85,1.24,124.0
86,1.25,125.0
87,1.23,123.0
88,1.21,121.0
89,1.24,124.0
90,1.19,119.0
91,1.16,116.0
92,1.19,119.0
93,1.17,117.0
94,1.15,115.0
95,1.19,119.0
96,1.21,121.0
97,1.2,120.0
98,1.19,119.0
99,1.1,110.0
