trial,temperature,paths_match,mean_vel_diff,max_path_diff
0,6.222021492397564,True,6.247066392304452,
1,2.8921422684559346,True,3.636065181295282,
2,7.439534025724911,True,6.206949775647672,
3,6.690126672302469,True,5.017188172212489,
4,6.959594911350066,True,4.9210581199756565,
5,1.5108419597456848,True,2.9596365717131383,
6,0.30326806138582396,True,1.1210570962560908,
7,3.6401063391154644,True,3.9353100692956415,
8,2.7893977051269014,True,3.6558092182617914,
9,8.4429502756184,True,5.32756842793725,
10,3.9027350265027687,True,4.437204776374017,
11,4.582393645898172,True,4.638368677543122,
12,1.0332267041160332,True,2.0411040742605513,
13,5.015739172898591,True,5.721131293465893,
14,1.6661932608510717,True,2.8053227089279447,
15,3.7458655937082925,True,4.2371074781454885,
16,1.287513552615933,True,2.3751334118948195,
17,5.728108958023045,True,4.602279646450091,
18,6.564865721758783,True,5.643665401498292,
19,4.17646018345874,True,4.1566305918359285,
20,5.65191663352597,True,4.456571412556878,
21,4.275412112195286,True,4.093881638889751,
22,1.7886282684878323,True,3.6697734515581706,
23,8.641898940491272,True,6.111300846747177,
24,5.0342239094205175,True,5.385350735453112,
25,3.8517753229075575,True,3.7561776556466087,
26,3.3036404029156854,True,3.583038692407554,
27,4.2793123455887345,True,4.2800703719293685,
28,8.295652185101835,True,6.669067202430346,
29,6.986313742289112,True,5.711857180877987,
30,5.317211457109609,True,4.671928854687682,
31,0.1697825842828882,True,0.8480654137861764,
32,4.475013829356768,True,4.699970097294899,
33,3.1320102949764483,True,4.425429169511527,
34,2.4914714836298955,True,2.9217112491591553,
35,3.1988280774608673,True,3.724425935142733,
36,5.574635377579521,True,5.295847538403672,
37,5.694877610057011,True,5.437709780811812,
38,0.45135460895573587,True,1.454329375059595,
39,6.752870993754845,True,6.211294454276463,
40,3.2405282627685743,True,4.2533063857311575,
41,4.945481805449082,True,4.281504771549061,
42,0.9654525053959669,True,2.8322907586427117,
43,1.0913850289405898,True,2.307383059308958,
44,1.9759066787624244,True,3.2488382312111126,
45,5.186411531560376,True,5.069518575553319,
46,1.345082646628765,True,2.3272730078594286,
47,7.080388741455733,True,5.87592710104557,
48,9.937420697028895,True,6.5843246794280885,
49,6.161105658846395,True,5.573169085579532,
50,0.34662533289232766,True,1.1364897229616748,
51,1.1991593729066545,True,2.4517298325785224,
52,7.012715563459514,True,5.838671953504784,
53,8.287212652500967,True,6.837894949008353,
54,5.981339633996323,True,5.259555969079626,
55,7.688818368360197,True,5.9458618061450705,
56,7.547343651920627,True,4.767080138610903,
57,8.67588285039602,True,6.713124790310339,
58,2.948853658552996,True,3.5556344870212593,
59,4.611717604881175,True,4.406513357435719,
60,0.11033616974738542,True,0.6764789058335297,
61,9.757893317278025,True,7.1205570661627915,
62,9.71945757212563,True,6.020901268434851,
63,4.062093958006514,True,4.772972640647113,
64,2.9442456029863657,True,3.68182542342132,
65,1.2733811292712511,True,2.436784387411664,
66,4.139260831427918,True,4.135921141769559,
67,9.717434869895804,True,5.281279497432472,
68,9.910394746961607,True,6.349882110431453,
69,6.845384081714329,True,4.890529539518601,
70,0.98865708668756,True,2.075258779729277,
71,1.710386850827942,True,2.4468683989040128,
72,1.2059619730759328,True,2.4078962014291,
73,0.6433818167911759,True,1.8652198360184176,
74,4.721241810596752,True,4.675713407119649,
75,5.204609670515244,True,5.365241704759535,
76,5.413718877065142,True,4.489497541024966,
77,3.3602354215803265,True,3.68361759804797,
78,7.424696210964232,True,6.108995827886967,
79,8.688160131241315,True,5.988467149040451,
80,3.988199777271741,True,4.894899330469746,
81,5.585639614589034,True,5.757563021976674,
82,2.403595151039521,True,3.3427918265134275,
83,5.861318650789149,True,4.827601822249317,
84,8.656180109826183,True,6.930171228403589,
85,9.474944426818299,True,6.472142939333739,
86,5.6572214929154745,True,5.117987314196021,
87,1.420546471352409,True,2.3786596323365834,
88,4.081935473326594,True,3.896079438698318,
89,0.10008264697733815,True,0.6705663283804328,
90,5.701334930600183,True,6.612727737747368,
91,0.9003077309806601,True,1.8684751050307054,
92,6.456177203473762,True,4.94477628878023,
93,7.368976489434821,True,5.775846177690365,
94,5.736881342534917,True,6.158413781827877,
95,3.6500476596728975,True,4.055705658892621,
96,7.982325693877907,True,6.434853159195876,
97,0.27443208801209756,True,1.2727001358180912,
98,9.247716550914713,True,5.2026656288531035,
99,9.03457695557504,True,6.207882817427199,
