field_V_per_m,drift_velocity_cm_per_s
1000.0,12.3
1623.776739188721,19.972453892021267
2636.650898730358,32.4308060543834
4281.332398719395,52.660388504248566
6951.927961775606,85.50871392983996
11288.378916846883,138.84706067721666
18329.807108324374,225.4566274323898
29763.51441631319,366.09122732065225
48329.30238571752,594.4504193443255
78475.99703514607,965.2547635322966
127427.49857031321,1567.3582324148526
206913.808111479,2545.039839771192
335981.8286283781,4132.576492129051
545559.4781168514,6710.381580837273
885866.7904100833,10896.161522044024
1438449.888287663,17692.933625938254
2335721.4690901213,28729.37406980849
3792690.190732246,46650.08934600662
6158482.110660254,75749.32996112113
10000000.0,123000.0
